# %ECSV 0.9
# ---
# meta: !!omap
# - OBJECT: Mrk 421
#
# - DESCRIBE:
#    Spectral points for multiwavelength campaign;
#    Observations taken between 2008 January 01 and 2008 June 05;
#    Flux sensitivity flux(E>1TeV) > 1.5e-10
#
# - MJD:
#    START: 54588.29027
#    END: 54589.30958
#
# - ARTICLE:
#    label: Ap.J. 738, 25 (2011)
#    url: http://iopscience.iop.org/0004-637X/738/1/25/
#    arxiv: http://arxiv.org/abs/1106.1210
#    ads: http://adsabs.harvard.edu/abs/2011ApJ...738...25A
#
# - COMMENTS:
#    Name: Mrk421_2008_veryhigh
#    Tag: veryhigh
#    Redshift: 0.031
#    LiveTime: 0.6
#    Significance: 53.8
#
# - SED_TYPE: diff_flux_points
#
# datatype:
# - name: e_ref
#   unit: TeV
#   datatype: float64
# - name: dnde
#   unit: ph / (m2 TeV s)
#   datatype: float64
# - name: dnde_errn
#   unit: ph / (m2 TeV s)
#   datatype: float64
# - name: dnde_errp
#   unit: ph / (m2 TeV s)
#   datatype: float64
#
e_ref dnde dnde_errn dnde_errp
0.642 6.659E-006 7.092E-007 7.092E-007
0.793 4.290E-006 4.450E-007 4.450E-007
0.980 2.450E-006 2.023E-007 2.023E-007
1.212 1.708E-006 1.397E-007 1.397E-007
1.498 9.934E-007 9.117E-008 9.117E-008
1.851 4.907E-007 5.533E-008 5.533E-008
2.288 3.522E-007 4.038E-008 4.038E-008
2.828 1.820E-007 2.527E-008 2.527E-008
3.496 9.938E-008 1.633E-008 1.633E-008
4.321 6.131E-008 1.164E-008 1.164E-008
5.342 2.448E-008 6.365E-009 6.365E-009
7.341 4.454E-009 1.687E-009 1.687E-009
